Identifiant opération;Localisation station de mesure;Code station;X;Y;Identifiant point prélèvement;Date réalisation;Débit mesuré (m3/s);Débit station hydro (m3/s);Distance interpoint (m);Largeur plein bord évaluée (m);Largeur mouillée évaluée (m);Longueur réelle opération (m);Longueur théorique opération (m);Pente ligne d'eau (‰);Pente ligne d'eau évaluée;Decription habitat marginaux;Continuité ripisylve rive gauche;Continuité ripisylve rive droite;Nom réseau de mesure;Observations;Version protocole;Structure responsable;Cours d'eau;Nombre transect;D16 (mm);D50 (mm);D84 (mm);Indice Folk et Ward;Indice Fredle;Surface mouillée Q1 (m2);Largeur mouillée Q1 (m);Périmètre mouillé Q1 (m);Profondeur maximum Q1 (m);Profondeur moyenne Q1 (m);Rayon hydraulique Q1;Rapport largeur/Profondeur Q1;Coefficient rugosité;Surface mouillée Qb (m2);Largeur mouillée Qb (m);Périmètre mouillé Qb (m);Profondeur maximum Qb (m);Profondeur moyenne Qb (m);Rayon hydraulique Qb;Rapport largeur/Profondeur Qb;Force tractrice Qb  (N/m2);Débit plein bord (m3/s);Ecart type cote point;Coefficient variation cote point;Ecart type cote point en eau;Coefficient variation cote point en eau;Ecart type largeur mouillée Qb;Coefficient variation largeur mouillée Qb;Vitesse moyenne Qb (m/s);Ligne énergie Qb (m);Cote ligne énergie Qb;Nombre de Froude Qb;Puissance spécifique Qb (w/m2);Nombre de mouille;Profondeur moyenne des mouilles (m);Nombre de berge total;Nombre de berge artificialisée;Score ripisylve;Classe ripisylve;% fines;% graviers-cailloux;% blocs-rochers;Indice de Shannon granulo;Surface BV (km2);Proportion de roche imperméable BV;Code HER ou DOM dominant;Nom HER ou DOM dominant;Type DOM;Coefficient de sinuosité;Débit Q01 RHT (m3/s);Puissance Q01 RHT (w/m);Puissance spécifique Q01 RHT (w/m2);Station référence modèle;Résidu modèle Largeur mouillée Qb;Résidu modèle rapport largeur/profondeur Qb;Résidu modèle profondeur mouilles;Résidu modèle profondeur Qb;Résidu modèle pente ligne d'eau;Résidu modèle surface mouillée Qb;Résidu standardisé modèle largeur mouillée Qb;Résidu standardisé modèle rapport largeur/profondeur Qb;Résidu standardisé modèle profondeur mouilles;Résidu standardisé modèle profondeur Qb;Résidu standardisé modèle pente ligne d'eau;Résidu standardisé modèle surface mouillée Qb;IMG;Modèle référence IMG
2252;L'ELLE A CERISY-LA-FORET 3;3252720;410450,04;6906375,1;168933;18/09/2012;0,135;NA;0,7;6,8;4,9;95,2;NA;6,62;NA;;5;3;1;;2;ASCONIT CONSULTANTS;Elle;15;32;67,5;106,16;0,836;38,686;0,51;4,451;4,527;0,204;0,117;0,115;23,279;13,77;4,241;6,948;7,453;0,853;0,61;0,569;8,173;36,929;3,261;0,37;0,004;0,07;0,623;0,725;0,104;0,783;0,885;100,366;0,322;30,766;4;0,041;30;1;0,736;2;12,5;77,679;9,821;1,927;42,44;1;12;ARMORICAIN;0;1.042;2,93;190,281;27,385;0;-0,041;0,178;-1,201;-0,234;0,711;-0,263;-0,188;0,648;-2,914;-1,166;0,69;-0,839;6,446;ARMORICAIN
2255;LA SOULLES A BELVAL 1;3264930;381067;6890587;168945;29/07/2014;0,384;NA;1;9,7;7;136;NA;0,74;NA;;5;4;1;;2;ASCONIT CONSULTANTS;Soulles;15;6,68;23;47;1,653;10,004;1,836;5,731;5,952;0,458;0,316;0,303;13,845;17,021;11,7;8,905;10,112;1,774;1,317;1,157;5,063;8,403;5,972;0,691;0,007;0,17;0,526;0,505;0,057;0,514;1,787;101,28;0,144;4,883;4;0,171;30;0;0,599;2;28,09;71,91;0;1,907;115,2;1;12;ARMORICAIN;0;0;13,648;99,076;11,126;0;-0,208;-0,455;0,046;0,238;-0,952;0,062;-0,959;-1,657;0,113;1,186;-0,925;0,197;5,037;ARMORICAIN
2256;LE FOULBEC A COURCY 1;3264940;380481;6891279;168946;19/06/2014;0,063;NA;0,2;2,1;1,37;29,4;NA;10,65;NA;;0;0;1;Afin d'avoir plus de précision sur la mesure la pente a été calculée sur 62m.;2;ASCONIT CONSULTANTS;Foulbec;15;14;32;68,32;1,272;18,69;0,14;1,149;1,306;0,164;0,123;0,107;7,247;19,326;1,466;2,469;3,497;0,959;0,597;0,42;2,575;43,906;1,64;0,409;0,004;0,042;0,334;0,235;0,095;1,126;1,024;100,703;0,468;69,989;4;0,029;30;0;0,036;1;11;88;1;1,68;9,95;1;12;ARMORICAIN;0;1.006;1,191;124,432;50,397;0;-0,472;-0,753;-1,274;0,259;0,418;-0,323;-2,18;-2,739;-3,091;1,29;0,407;-1,031;10,737;ARMORICAIN
2258;LE BACTOT A ACQUEVILLE 1;3244620;453589,1;6880298,21;168927;01/07/2015;0,012;NA;0,25;2,5;1,8;35;NA;4,86;NA;;0;0;1;;2;ASCONIT CONSULTANTS;Bactot;15;NA;NA;NA;NA;NA;0,234;1,666;1,788;0,205;0,137;0,127;9,257;2,933;1,425;2,754;3,376;0,732;0,517;0,42;3,81;20,042;0,164;0,291;0,003;0,085;0,6;0,313;0,114;0,118;0,733;100,443;0,053;2,872;4;0,064;30;0;0,036;1;56,25;42,708;1,042;1,597;11,39;0,351;12;ARMORICAIN;0;0;0,641;30,561;11,098;0;-0,419;-0,382;-0,504;-0,046;-0,295;-0,444;-1,935;-1,389;-1,222;-0,229;-0,286;-1,418;6,479;ARMORICAIN
2261;LE RUISSEAU DU PONT DURANT A ROCHEVILLE 1;3253810;368301,09;6941801,84;168937;01/09/2015;0,025;NA;0,3;2,4;2;33,6;NA;0,15;NA;;0;0;1;Ru en prairie humide avec problématique de piétinement de berge . Jonc le long des berges;2;ASCONIT CONSULTANTS;Pont durant;15;NA;NA;NA;NA;NA;0,442;1,717;1,987;0,397;0,259;0,222;4,387;12,506;1,517;2,521;3,28;0,905;0,602;0,461;2,795;0,679;0,139;0,341;0,003;0,121;0,466;0,263;0,104;0,093;0,906;100,506;0,038;0,082;4;0,056;30;0;0,036;1;95,192;4,808;0;0,857;10,06;1;12;ARMORICAIN;0;1;1,472;2,166;0,859;0;-0,456;-0,672;-0,63;0,199;-3,838;-0,296;-2,104;-2,447;-1,528;0,991;-3,729;-0,944;11,744;ARMORICAIN
2262;LA VIRE A CARVILLE 1;3250110;414960;6877187;168932;29/06/2015;0,834;NA;1,9;15;13;210;NA;3;NA;;1;1;1;Hauteurs d'eau importantes 11 transect sur 15 sont réalisés 165m;2;ASCONIT CONSULTANTS;Vire;11;NA;NA;NA;NA;NA;9,274;12,551;13,113;1,304;0,749;0,712;10,641;2,059;24,249;15,965;17,155;2,345;1,527;1,418;7,001;41,728;3,451;0,846;0,009;0,456;0,608;1,492;0,093;0,143;2,346;100,817;0,037;6,412;2;0,487;22;0;0,087;1;92,593;7,407;0;1,065;323,96;1;12;ARMORICAIN;0;0;33,187;976,693;61,177;0;-0,054;-0,291;0,901;0,249;0,995;0,076;-0,249;-1,059;2,185;1,239;0,967;0,243;5,942;ARMORICAIN
2263;LA VENLOUE A MARCHESIEUX 1;3255695;388101,15;6907175,11;168940;30/08/2015;0,183;NA;0,45;4,3;3,2;60;NA;0,05;NA;;0;0;1;;2;ASCONIT CONSULTANTS;Venloue;15;NA;NA;NA;NA;NA;1,47;3,106;3,58;0,673;0,475;0,41;4,679;31,863;2,554;3,748;4,488;0,99;0,683;0,568;3,812;0,279;0,395;0,379;0,004;0,198;0,413;0,415;0,111;0,156;0,991;100,316;0,06;0,052;3;0,101;30;0;0,036;1;100;0;0;0,555;42,36;0,694;12;ARMORICAIN;0;1.15;25,413;12,465;3,326;0;-0,657;-0,584;-0,293;-0,085;-4,176;-0,769;-3,033;-2,127;-0,712;-0,424;-4,057;-2,452;12,805;ARMORICAIN
2266;LA SOULEUVRE A CARVILLE 1;3250430;416555;6879065;79908;11/07/2016;0,242;NA;0,8;9,2;5,8;130;NA;4,6;NA;;1;2;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Souleuvre;15;66;97;138,8;0,558;77,636;1,734;6,484;6,645;0,447;0,266;0,258;16,675;5,081;6,615;10,264;10,76;1,009;0,651;0,619;10,453;27,915;1,655;0,423;0,004;0,19;0,706;1,993;0,194;0,26;1,013;100,27;0,105;7,514;4;0,22;30;0;0,411;2;10,072;65,468;24,46;1,677;114,08;1;12;ARMORICAIN;0;1.2;15,263;688,758;67,103;1;-0,062;0,271;0,297;-0,323;0,87;-0,502;-0,285;0,987;0,721;-1,609;0,845;-1,601;6,048;ARMORICAIN
2269;MAYENNE à LALACELLE;4123100;467512;6823781;121682;30/06/2016;0,019;NA;0,32;3,33;2,23;46;NA;10,7;NA;;4;5;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Mayenne;16;26,68;46;84;0,876;32,934;0,222;1,961;2,09;0,195;0,107;0,099;11,695;3,963;2,29;3,767;4,555;0,909;0,609;0,501;4,161;52,607;0,592;0,412;0,004;0,091;0,807;0,563;0,15;0,267;0,912;100,45;0,11;16,877;4;0,108;32;0;1,418;2;24,348;73,043;2,609;1,958;6,14;1;12;ARMORICAIN;0;1.049;0,789;82,819;21,985;0;0,151;-0,198;0,13;0,331;0,168;0,457;0,696;-0,721;0,315;1,648;0,163;1,458;5;ARMORICAIN
2271;LA VIRE A TRUTTEMER-LE-GRAND 1;3248401;418806;6860676;111706;05/07/2016;0,044;NA;0,4;4,13;2,73;60;NA;3,2;NA;;0;0;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Vire;15;16;25;39;0,666;18,974;0,353;2,581;2,701;0,213;0,139;0,132;14,581;8,504;2,027;3,77;4,45;0,741;0,541;0,457;5,174;14,343;0,579;0,31;0,003;0,084;0,615;0,528;0,14;0,29;0,745;100,439;0,126;4,904;3;0,073;30;0;0,036;1;43,75;52,679;3,571;1,921;8,28;1;12;ARMORICAIN;0;1.011;0,953;29,917;7,935;1;0,027;-0,026;-0,326;0,049;-0,881;0,128;0,126;-0,096;-0,791;0,243;-0,856;0,41;2,522;ARMORICAIN
2276;LA GINE A LA CARNEILLE 4;3240630;446803;6858643;168926;17/06/2014;0,049;NA;0,37;3,15;2,6;44,1;NA;4,85;NA;;1;1;1;;2;ASCONIT CONSULTANTS;Gine;15;9,68;29,5;158,24;2,223;14,397;0,396;2,063;2,295;0,269;0,2;0,17;9,663;5,776;2,514;2,994;4,096;1,075;0,847;0,605;2,841;28,774;0,723;0,451;0,005;0,124;0,625;0,86;0,287;0,324;1,082;100,705;0,114;12,786;2;0,174;30;12;0,144;4;29,474;34,737;35,789;1,841;18,71;1;12;ARMORICAIN;0;1.008;1,683;80,075;26,745;0;-0,542;-0,752;0,399;0,21;-0,034;-0,22;-2,502;-2,737;0,968;1,045;-0,033;-0,701;7,985;ARMORICAIN
2278;LE RUISSEAU LA DOQUETTE A PERCY 1;3265480;388971,67;6877592,12;168947;19/09/2012;0,005;NA;0,19;5,67;1,33;79,8;NA;10,15;NA;;3;3;1;Cette station a fait l'objet de travaux de renaturation à l'automne 2008. Le lit a été restaurer dans le fond de vallée alors qu'il avait été dévié en bord de parcelle. Le lit renaturé est probablement trop large ce qui limite le débordement. A l'étiage la largeur mouillée est très inférieure à la largeur de plein bord. La Doquette déborde quand même en crue. Les granulats les plus fins apportés lors de la renaturation ont été en partie évacués vers l'aval.;2;ASCONIT CONSULTANTS;Doquette;15;12;28;45,16;0,979;15,61;0,123;1,549;1,616;0,134;0,079;0,075;14,006;2,276;2,114;4,522;4,955;0,757;0,474;0,431;6,032;42,953;0,277;0,313;0,003;0,059;0,76;0,722;0,16;0,132;0,758;100,221;0,061;6,256;4;0,069;30;0;0,188;4;36,842;60,15;3,008;1,951;9,21;1;12;ARMORICAIN;0;0.18;1,12;111,52;24,66;0;0,165;0,11;-0,394;0,043;0,329;0,097;0,761;0,402;-0,957;0,216;0,32;0,308;2,964;ARMORICAIN
2279;LA DOUVE A TOLLEVAST 1;3253020;364474,31;6950155,37;168934;01/09/2015;0,07;NA;0,4;3,4;2,8;47,6;NA;2,84;NA;;0;1;1;Nombreuses sous berges en rive gauche et granulométrie trop fine pour être mesurée. ;2;ASCONIT CONSULTANTS;Douve;15;NA;NA;NA;NA;NA;0,557;2,331;2,625;0,359;0,241;0,213;6,604;6,586;1,81;3,12;3,849;0,815;0,581;0,47;3,849;13,099;0,384;0,318;0,003;0,093;0,37;0,298;0,096;0,214;0,817;100,391;0,09;3,461;4;0,039;30;0;0,061;1;98,876;1,124;0;1,373;11,1;1;12;ARMORICAIN;0;0;1,05;29,253;9,375;0;-0,284;-0,368;-0,997;0,068;-0,845;-0,188;-1,309;-1,338;-2,418;0,338;-0,821;-0,599;6,824;ARMORICAIN
2280;LA GLOIRE A TAMERVILLE 1;3253650;375659,58;6948780,16;168936;01/09/2015;0,057;NA;0,5;3,8;3,5;53,2;NA;0,21;NA;;0;0;1;;2;ASCONIT CONSULTANTS;Gloire;15;4,84;13,5;32,16;1,538;6,535;0,746;3,104;3,319;0,355;0,24;0,224;9,077;14,372;2,261;3,899;4,515;0,781;0,583;0,502;5,024;1,034;0,297;0,3;0,003;0,113;0,465;0,334;0,086;0,132;0,782;100,422;0,056;0,158;3;0,075;30;0;0,036;1;87,379;12,621;0;1,419;17,48;1;12;ARMORICAIN;0;1.054;1,801;3,71;0,952;0;-0,25;-0,171;-0,435;-0,092;-3,21;-0,279;-1,153;-0,624;-1,056;-0,458;-3,118;-0,889;7,297;ARMORICAIN
2281;LE RUISSEAU DE SAULTBESNON A TIREPIED 1;3270900;384307,12;6854572,26;168953;02/09/2015;0,137;NA;0,35;3,2;2,58;44,8;NA;2,19;NA;;3;2;1;;2;ASCONIT CONSULTANTS;Saultbesnon;15;4;10;21,32;1,27;5,681;0,676;2,25;2,681;0,442;0,306;0,252;5,501;10,863;2,056;3,255;4,219;0,956;0,64;0,487;3,476;10,46;0,647;0,378;0,004;0,129;0,404;0,534;0,164;0,322;0,961;100,47;0,13;4,388;4;0,129;30;0;0,162;1;73,684;26,316;0;1,78;14,91;1;12;ARMORICAIN;0;1.001;1,575;33,837;10,396;0;-0,364;-0,515;0,138;0,151;-0,949;-0,264;-1,681;-1,875;0,336;0,753;-0,922;-0,842;6,409;ARMORICAIN
2282;LA BRAIZE A LOLIF 3;3271070;377913;6856441;168954;02/09/2015;0,197;NA;0,55;4,5;3,9;63;NA;5,87;NA;;4;4;1;;2;ASCONIT CONSULTANTS;Braize;15;12;47;93,48;1,813;17,027;0,736;3,617;3,817;0,326;0,206;0,193;12,059;10,46;2,984;4,563;5,237;0,869;0,653;0,567;5,296;32,66;1,639;0,352;0,004;0,107;0,518;0,688;0,151;0,568;0,886;100,375;0,225;21,207;5;0,066;30;0;0,548;2;40,909;52,727;6,364;2,035;25,04;1;12;ARMORICAIN;0;1.144;2,369;136,418;29,899;0;-0,242;-0,174;-0,625;-0,079;0,311;-0,25;-1,117;-0,634;-1,516;-0,395;0,302;-0,797;4,761;ARMORICAIN
2283;LA CHEVAUCHERIE A MONTAUDIN 2;3271652;402905,1;6816211,87;168955;03/09/2015;0,016;NA;0,2;3,1;1,5;43,4;NA;5,12;NA;;1;1;1;;2;ASCONIT CONSULTANTS;Chevaucherie;15;NA;NA;NA;NA;NA;0,25;1,282;1,519;0,29;0,191;0,156;4,781;3,079;1,248;3,087;3,715;0,725;0,407;0,337;4,301;16,904;0,133;0,257;0,003;0,115;0,574;0,246;0,08;0,108;0,725;100,324;0,055;2,177;4;0,048;30;0;0,087;1;37,705;54,098;8,197;2,232;0,32;1;12;ARMORICAIN;0;1.018;0,711;35,712;11,567;0;1,18;0,292;-0,14;0,872;-2,133;1,892;5,446;1,063;-0,34;4,342;-2,072;6,036;19,299;ARMORICAIN
2285;LE RUISSEAU DE LA CHAUSSEE A CERENCE 1;3266340;372444,26;6876212,94;168948;19/09/2012;0,022;NA;0,18;2,73;1,27;38,27;NA;5,23;NA;;0;0;1;Éléments grossiers peu présents. Le ruisseau de la Chaussée a fait l'objet de travaux récents de remise en fond de vallée. Le tracé présenté sur la carte IGN adossé au côteau rive gauche n'est plus valide. Le cours d'eau présente un petit gabarit et un débit faible. Aucun apport de granulat n'a été réalisé. Le lit mineur n'a pas été retracé. Les substrats présents sont essentiellement fins. Le cours d'eau n'a pas encore connu de crue morphogène depuis la réalisation des travaux.;2;ASCONIT CONSULTANTS;Chaussee;15;2;3;5,16;0,767;2,272;0,188;1,088;1,278;0,253;0,172;0,145;4,628;5,86;0,76;2,071;2,575;0,639;0,368;0,295;3,27;15,112;0,143;0,267;0,003;0,092;0,536;0,3;0,145;0,192;0,641;100,288;0,102;3,607;2;0,098;30;0;0,036;1;84,211;15,789;0;1,735;11,09;1;12;ARMORICAIN;0;0;1,527;78,345;37,834;0;-0,693;-0,53;-0,084;-0,175;-0,235;-1,055;-3,2;-1,931;-0,205;-0,873;-0,229;-3,365;9,802;ARMORICAIN
2286;L'ALLEMAGNE A JULLOUVILLE 1;3268850;369227,46;6862205,15;168951;13/09/2012;0,077;NA;0,44;3,53;3,07;49,47;NA;2,45;NA;;5;5;1;Station dont la limite aval est située 8m en amont du radier précédant la chute qui nécessite l'aménagement d'une rivière de contournement;2;ASCONIT CONSULTANTS;Allemagne;15;2;3;5,32;0,807;2,063;0,493;3,091;3,274;0,256;0,156;0,147;12,826;11,322;2,349;3,841;4,599;0,788;0,608;0,506;4,877;12,172;0,836;0,289;0,003;0,085;0,533;0,657;0,171;0,369;0,795;100,479;0,152;5,359;4;0,093;30;0;1,516;2;72,65;23,077;4,274;1,512;14,96;1;12;ARMORICAIN;0;0;0,961;23,097;6,014;0;-0,2;-0,177;-0,184;-0,043;-0,835;-0,133;-0,923;-0,644;-0,447;-0,214;-0,811;-0,425;3,465;ARMORICAIN
2287;L'ASSELINE A BREUVILLE 1;3253200;363286,12;6946853,43;168935;02/10/2012;0,2;NA;0,36;6,83;2,53;95,67;NA;2,87;NA;;3;1;1;Mesures réalisées à  la suite d'une montée des eaux récente J-2 mais conditions conformes à la réalisation du protocole. Les berges sont piétinées sur la moitié aval de la station.;2;ASCONIT CONSULTANTS;Asseline;15;15;36,5;74,16;1,107;17,879;0,865;3,556;3,819;0,379;0,246;0,225;11,394;11,672;6,695;5,922;7,454;1,551;1,162;0,896;3,884;25,236;3,892;0,538;0,005;0,152;0,632;2,568;0,434;0,633;1,573;101,056;0,188;20,807;4;0,166;30;0;0,137;4;45,055;51,648;3,297;2,116;17,23;1;12;ARMORICAIN;0;1.168;1,748;49,214;8,311;0;0,174;-0,426;0,364;0,598;-0,602;0,817;0,804;-1,552;0,882;2,977;-0,585;2,606;9,406;ARMORICAIN
2289;LA CANCE A AVOINE 2;3234374;473316,83;6847649,81;168924;16/07/2013;0,041;NA;1,3;9,5;9,1;133;NA;0,08;NA;;1;2;1;;2;ASCONIT CONSULTANTS;Cance;15;NA;NA;NA;NA;NA;5,164;7,897;8,326;0,865;0,654;0,62;9,426;1,221;8,71;8,917;9,631;1,285;0,977;0,904;7,051;0,709;0,089;0,511;0,005;0,229;0,343;0,496;0,056;0,01;1,285;100,415;0,003;0,008;4;0,192;30;2;0,411;2;27,66;63,83;8,511;1,942;98,4;0,915;12;ARMORICAIN;0;1.54;5,316;4,172;0,468;0;-0,141;-0,1;0,19;-0,043;-3,26;-0,124;-0,65;-0,363;0,461;-0,214;-3,167;-0,397;5,252;ARMORICAIN
2290;LE RUISSEAU DU MOULIN BESNARD A SAINT-MARGUERITE-DE-CARROUGE;3239422;467907;6837580;168925;15/07/2013;0,004;NA;0,25;2,9;1,8;41;NA;20,54;NA;;2;2;1;Granulométrie relevée sur un petit radier avec de nombreux encombres;2;ASCONIT CONSULTANTS;Moulin besnard;15;1;12;87,4;2,81;1,982;0,125;1,432;1,496;0,151;0,081;0,077;10,265;1,227;1,629;2,866;3,412;0,787;0,565;0,48;3,636;96,787;0,176;0,464;0,005;0,072;0,826;0,474;0,165;0,113;0,788;100,22;0,048;12,655;4;0,078;30;1;0,476;2;57;26;17;1,736;7,75;1;12;ARMORICAIN;0;0;0,495;99,741;34,799;0;-0,219;-0,369;-0,245;0,127;0,943;-0,044;-1,012;-1,343;-0,593;0,632;0,916;-0,141;4,639;ARMORICAIN
2291;LA TAUTE A RAIDS 2;3255380;383447;6908309;168938;28/05/2013;0,82;NA;0,9;8,3;6,5;116;NA;1,12;NA;;1;0;1;;2;ASCONIT CONSULTANTS;Taute;15;2,68;25;54;2,035;5,785;2,662;6,702;7,025;0,591;0,399;0,379;12,028;17,566;7,715;8,4;9,324;1,246;0,92;0,827;6,814;9,089;3,996;0,456;0,005;0,174;0,427;0,778;0,093;0,525;1,26;100,604;0,176;5,274;4;0,133;30;0;0,061;1;32,743;66,372;0,885;2,024;65,03;0,957;12;ARMORICAIN;0;1.053;16,433;180,553;21,494;0;-0,028;-0,07;-0,103;0,034;-0,84;0,041;-0,131;-0,254;-0,249;0,167;-0,816;0,129;1,747;ARMORICAIN
2292;LE TROTTEBEC A LA GLACERIE 2;3258970;369825;6956800;168943;29/05/2013;0,11;NA;0,5;4,8;3,5;67;NA;9,15;NA;;5;5;1;Début de la station au niveau du premier radier en amont de l'ouvrage de connexion à l'étang;2;ASCONIT CONSULTANTS;Trottebec;15;11,68;78;206,6;2,4;25,253;0,503;2,665;2,87;0,281;0,192;0,176;10,097;7,277;3,814;3,919;5,136;1,259;0,977;0,741;3,13;66,522;2,174;0,542;0,005;0,09;0,474;0,721;0,184;0,588;1,277;100,688;0,19;51,615;5;0,071;30;0;1,083;2;1,136;47,727;51,136;1,818;16,15;1;12;ARMORICAIN;0;1.015;0;0;0;0;-0,212;-0,632;-0,474;0,405;0,523;0,299;-0,977;-2,301;-1,149;2,019;0,508;0,954;7,908;ARMORICAIN
2293;LE LAIR A SAINT-GEORGES-DE-REINTEMBAULT 1;3272370;390441;6833772;168956;27/05/2013;0,479;NA;0,5;4,2;3,6;59;NA;6,8;NA;;5;1;1;Turbidité importante. Substrat non visible.;2;ASCONIT CONSULTANTS;Lair;15;1;80;1000;4,007;1,907;1,419;3,358;3,848;0,65;0,421;0,364;5,381;8,024;2,947;4,029;4,933;1,06;0,733;0,596;3,869;39,765;1,381;0,411;0,004;0,214;0,504;0,508;0,126;0,488;1,073;100,223;0,187;23,21;4;0,098;30;0;0,188;1;65,094;2,83;32,075;1,359;34,19;0;12;ARMORICAIN;0;0;2,18;145,423;36,093;0;-0,496;-0,536;-0,287;0,039;0,623;-0,477;-2,288;-1,953;-0,697;0,194;0,605;-1,524;7,26;ARMORICAIN
2301;OUDON A ATHEE;4637014;405026;6761552;168957;30/06/2016;1,237;0,917;1,3;11,7;9,15;164;NA;3,7;NA;VA;5;5;0;Station suivie suite à l'abaissement d'un clapet. Les berges sont en cours de végétalisations. La diversité des habitats en berge reste faible pour le moment.;2;HYDROCONCEPT;Oudon;15;27,84;41;67;0,739;33,17;3,197;7,976;8,166;0,607;0,39;0,38;13,613;12,122;7,971;11,8;12,2;1,095;0,675;0,651;10,861;23,63;4,415;0,455;0,005;0,217;0,521;1,726;0,146;0,575;1,113;100,203;0,227;13,85;5;0,14;30;4;0,65;4;19,13;76,522;4,348;1,909;203,79;0,996;12;ARMORICAIN;0;1.42;22,468;815,521;69,111;0;-0,163;0,22;-0,263;-0,392;0,959;-0,716;-0,754;0,8;-0,637;-1,952;0,932;-2,285;7,361;ARMORICAIN
2317;KERIVALLAN A BRECH;4362023;249043;6750811;169016;07/06/2016;3,1;0,805;0,13;1,1;0,93;15,4;NA;15,6;NA;;1;0;0;Cours d'eau rectifié et recalibré. On note la présence d'apium et de phalaris. Station très petite et peu représentative de la méthode.;2;HYDROCONCEPT;Kerivallan;15;8,84;13;18;0,622;9,591;0,037;0,643;0,716;0,089;0,058;0,051;8,298;4901,632;0,427;1,096;1,749;0,528;0,396;0,243;2,099;37,239;101,933;0,241;0,002;0,034;0,559;0,232;0,212;246,119;3215,483;3315,273;124,904;15032,6;4;0,025;30;4;0,061;1;56;44;0;1,399;0,92;1;12;ARMORICAIN;0;0;1,691;258,784;236,1;0;-0,295;-0,589;-0,973;0,281;-0,46;0,09;-1,359;-2,143;-2,36;1,399;-0,447;0,286;7,995;ARMORICAIN
2325;L'ORNE A MENIL-HUBERT-SUR-ORNE 1;3235750;450878;6867151;169085;05/07/2016;3,417;NA;3,9;30,33;27,7;433,5;NA;1,18;NA;;4;3;0;2 sites pour le colmatage;2;AQUASCOP;Orne;15;37;63,5;106,48;0,748;43,408;10,075;24,476;24,637;0,607;0,408;0,404;46,264;18,065;40,782;29,957;30,653;1,717;1,364;1,332;17,855;15,414;30,631;0,707;0,007;0,251;0,613;3,33;0,111;0,77;1,748;100,89;0,213;11,97;1;0,87;30;4;0,213;4;13,592;71,845;14,563;1,917;1483,25;0,601;12;ARMORICAIN;0;1.047;62,17;719,667;24,023;0;-0,057;0,41;1,2;-0,458;0,867;-0,456;-0,263;1,492;2,91;-2,282;0,842;-1,454;9,243;ARMORICAIN
2326;SAL A PLUMERGAT;4362024;258881,3;6748816;169020;07/06/2016;0,035;0,805;0,6;4,8;4,16;67,2;NA;9,4;NA;;4;5;0;Station de suivi dans le cadre du CTMA du Loch;2;HYDROCONCEPT;Sal;15;12,68;38;79,64;1,524;18,976;0,461;2,256;2,476;0,323;0,198;0,178;8,727;2,48;1,746;4,143;4,641;0,723;0,427;0,379;6,017;34,91;0,22;0,348;0,003;0,144;0,654;0,604;0,146;0,129;0,724;100,086;0,065;4,984;3;0,161;30;1;0,599;2;5,435;38,043;56,522;1,857;71,45;1;12;ARMORICAIN;0;1.089;8,87;817,938;197,438;0;-0,774;-0,209;0,074;-0,535;1,337;-1,51;-3,574;-0,76;0,179;-2,663;1,299;-4,819;13,293;ARMORICAIN
2327;LA GUIGNE A FEUGUEROLLES-BULLY 1;3237540;450938;6894174;169086;20/07/2016;0,137;NA;0,45;4,63;3,3;66,5;NA;4,48;NA;;4;4;0;"Concrétions calcaires
2 sites pour le colmatage et
2 piquets cassés lors des relevés";2;AQUASCOP;Guigne;15;21,52;50;78,48;1,047;27,544;0,548;3,301;3,416;0,247;0,165;0,158;14,666;12,77;2,715;4,423;5,033;0,797;0,616;0,539;5,605;23,676;1,536;0,335;0,003;0,093;0,576;0,603;0,136;0,579;0,814;100,422;0,238;15,525;5;0,07;30;3;0,238;1;30;58,889;11,111;2,199;33,36;0,15;12;ARMORICAIN;0;0;0,956;42,015;9,499;0;-0,392;-0,162;-0,617;-0,24;0,193;-0,543;-1,811;-0,589;-1,498;-1,197;0,187;-1,731;7,013;ARMORICAIN
2328;LE RUISSEAU LUCAS A QUERQUEVILLE 2;3261180;359584;6960285;169087;21/07/2016;0,044;NA;0,25;3,73;2,03;53,5;NA;15,47;NA;;3;3;0;"2 sites pour le colmatage et 1 bâtonnet cassé à la relève dans le radier B
";2;AQUASCOP;Lucas;15;32;53;76,32;0,642;38,133;0,352;2,82;3,008;0,247;0,123;0,114;14,845;4,263;2,182;4,179;4,842;0,743;0,52;0,448;5,761;67,972;0,677;0,403;0,004;0,1;0,804;0,898;0,215;0,328;0,749;100,099;0,147;25,641;3;0,203;30;0;0,188;4;27,835;56,701;15,464;2,104;7,32;0;12;ARMORICAIN;0;1.078;0;0;0;0;0,182;0,1;0,726;0,084;0,629;0,287;0,838;0,365;1,76;0,42;0,611;0,917;4,911;ARMORICAIN
